channel,comparisonGroup,absoluteFerBetterScheme,relativeAwgnDegradationSmallerScheme,averageDecodeLatencyBetterScheme,p95TotalReceiverLatencyBetterScheme,recommendedScheme,mainBasis,mainCost,applicabilityBoundary
AWGN,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,CC_R23_BLOCK_FLOAT,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,CC_R23_BLOCK_FLOAT,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
AWGN,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,CC_R12_BLOCK_FLOAT,CC_R12_BLOCK_FLOAT,CC_R12_BLOCK_FLOAT,LDPC_BG2_N640_NMS,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,CC_R23_BLOCK_FLOAT,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,LDPC_BG2_N640_NMS,CC_R12_BLOCK_FLOAT,CC_R12_BLOCK_FLOAT,LDPC_BG2_N640_NMS,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
CFO_30_DEG,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,CC_R23_BLOCK_FLOAT,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
CFO_30_DEG,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,LDPC_BG2_N640_NMS,CC_R12_BLOCK_FLOAT,CC_R12_BLOCK_FLOAT,LDPC_BG2_N640_NMS,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,CC_R23_BLOCK_FLOAT,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,LDPC_BG2_N640_NMS,CC_R12_BLOCK_FLOAT,CC_R12_BLOCK_FLOAT,LDPC_BG2_N640_NMS,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,5% known contiguous erasure Formal; historical 10% result is stress-only.
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,LDPC_BG2_N640_NMS,CC_R12_BLOCK_FLOAT,CC_R12_BLOCK_FLOAT,LDPC_BG2_N640_NMS,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,5% known contiguous erasure Formal; historical 10% result is stress-only.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,LDPC_BG2_N480_NMS,CC_R23_BLOCK_FLOAT,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,LDPC_BG2_N640_NMS,CC_R12_BLOCK_FLOAT,CC_R12_BLOCK_FLOAT,LDPC_BG2_N640_NMS,Lower measured mean FER over the frozen 31-point grid; latency reported separately.,Reliability recommendation may not minimize software decode latency or transmitted length.,Frozen S5 model only; no real-satellite generalization.
